60445	60007	42
60445	60430	42
2208580	2206741	42
2236465	2236369	42
2289153	2288464	42
2289368	2288866	42
2289944	2289387	42
2289961	2288514	42
233091	1234216	42
3550950	3550064	42
1470376	1470156	42
2586512	2586380	42
1599922	1599817	42
3705800	3705699	42
686792	2289153	42
686792	686070	42
3550339	3550704	42
1764883	98069	42
1764883	1764614	42
2833578	2833649	42
2895247	2895164	42
2895266	2894938	42
2236308	2236398	42
1365121	1364592	42
866850	3705699	42
1934943	1934873	42
1935225	1934943	42
1935792	1934943	42
1559160	2845484	42
2016613	2016284	42
2020580	2020112	42
343088	2798130	42
