685998	685948	102
2020836	2020200	104
2289368	2289153	105
2207003	2206741	108
2289153	2288739	109
2101333	2101171	10
1056091	1056056	10
1056396	1056091	10
3156469	3156449	10
3156522	3156484	10
3156541	3156470	10
3156543	3156470	10
3156553	3156543	10
3156592	3156469	10
2110720	2110595	10
2110888	2110871	10
3159768	3159674	10
3159830	3159674	10
3159883	3159674	10
14784	14709	10
14808	14802	10
14820	14784	10
14914	14734	10
14914	14808	10
14928	14709	10
14928	14820	10
14961	14928	10
15005	14820	10
15208	15100	10
2799167	2798973	10
1067447	1067436	10
19080	18944	10
1070469	1070214	10
3168695	18944	10
3169225	3169148	10
23674	23323	10
2121402	2121367	10
2121593	2121494	10
2121593	2121555	10
2121684	2121437	10
2121708	2110673	10
2121708	2121605	10
1073571	1073553	10
2122990	2122961	10
2123672	14961	10
1077231	1077215	10
1077760	1077163	10
1077760	1077678	10
1078212	1076984	10
1078212	1077163	10
2127113	2127091	10
2127162	2127080	10
2127191	2127113	10
2127241	2127113	10
2127308	14820	10
2127308	2127162	10
2127420	2127281	10
2127526	2127113	10
2127531	2127134	10
2127531	2127281	10
2127531	2127487	10
2130464	2130143	10
2130488	2130464	10
1082931	1082912	10
1085084	23558	10
1085197	1085084	10
1085260	1085179	10
2133874	2133780	10
1085544	1084680	10
1085544	1085179	10
1085641	1085179	10
2134698	2134682	10
1089498	1089478	10
1056349	1056091	10
1056349	1056220	10
52828	52776	10
52842	52618	10
52842	52800	10
1101463	1101393	10
1101463	1101462	10
52925	52640	10
52925	52712	10
52948	52800	10
52948	52814	10
52951	52712	10
52951	52776	10
52959	52948	10
52996	52618	10
52996	52712	10
52996	52814	10
53024	52828	10
1104318	1094798	10
1104318	1104063	10
1104501	1104101	10
1105526	1105457	10
60039	60007	10
60150	60079	10
60163	3159836	10
60163	60039	10
60224	60037	10
60248	60150	10
60315	60163	10
60365	60248	10
60414	60079	10
60414	60167	10
60430	60146	10
60445	60205	10
60453	60007	10
60491	60118	10
60491	60372	10
60491	60445	10
60517	3159674	10
60517	60112	10
60517	60315	10
60517	60372	10
60517	60483	10
2157846	2157797	10
2158104	2157846	10
2158104	2157878	10
2158156	60007	10
2158234	2157846	10
2158234	2158016	10
2158365	2157846	10
2158393	2158052	10
2158524	2157910	10
2158633	2158016	10
2158673	2158234	10
2158692	2157797	10
2158692	2157910	10
2158799	2158673	10
2158908	2157846	10
2158908	2158413	10
2158908	2158545	10
2158908	2158633	10
2158943	2158393	10
1111275	2157797	10
1111673	1111601	10
63285	63065	10
1112182	1111120	10
1234216	14820	10
2163390	2163377	10
71355	71333	10
71446	71340	10
71450	71355	10
71486	71440	10
71486	71450	10
71486	71453	10
74281	74104	10
74289	74163	10
2983355	2157797	10
74350	74126	10
74350	74222	10
74403	74163	10
74403	74222	10
74442	74289	10
74457	74104	10
74466	74222	10
74466	74343	10
3221327	2158365	10
3221475	2983301	10
3221705	3221598	10
2173343	3156505	10
2173343	2983301	10
2175182	2174963	10
2175195	2174963	10
2175221	2175195	10
1935662	1935412	10
1129917	2161454	10
81733	60517	10
81748	60007	10
81777	1076925	10
81777	81725	10
81894	3159836	10
81894	19051	10
81894	1112050	10
81894	81800	10
81894	81872	10
82011	81777	10
82011	81800	10
82076	81748	10
82076	81894	10
82086	81777	10
82164	82011	10
82242	60007	10
82242	81748	10
82242	81800	10
82242	82086	10
1132420	60445	10
1132420	81894	10
1132839	1108653	10
84570	84561	10
84839	1132839	10
3230582	3230497	10
1133900	14709	10
1133900	81894	10
1133931	14820	10
1133931	14961	10
1133961	1133866	10
1133999	1133866	10
1134046	1134016	10
1134074	1133866	10
1134088	1134046	10
1134105	19051	10
1134105	2127134	10
1134192	1133931	10
1134199	1134021	10
1134237	1133940	10
1134264	1134199	10
3231669	1132420	10
3231728	3210469	10
3231728	81733	10
3231772	3159836	10
3231920	3231728	10
3232643	3232531	10
3233074	3232926	10
3233074	3233048	10
3236206	3236072	10
2188007	81894	10
2188007	2187899	10
2188068	2187899	10
2189933	2189639	10
94083	2277403	10
94083	52640	10
1144927	1144881	10
1144935	1144881	10
1144945	1144820	10
1144945	1144881	10
1144974	1144885	10
1144979	1144971	10
1144979	1144974	10
2194761	1234216	10
2194761	2983301	10
2194833	2194761	10
2195091	1089498	10
98799	98574	10
99533	98069	10
99607	98077	10
3251536	1133999	10
3251564	3251536	10
3251692	3251564	10
3251890	3251724	10
3251977	3251839	10
3252054	1133931	10
3252054	3251692	10
3252054	3251698	10
3252054	3251890	10
3252105	3251536	10
3252105	3251564	10
3252105	3251704	10
3252109	3251839	10
3252109	3252105	10
3252200	3252054	10
1155126	1154987	10
1155236	1154987	10
1155426	1234216	10
1155426	1155367	10
1155454	1155426	10
1156804	1132839	10
109264	109213	10
2206741	2110673	10
2206741	2277403	10
2206741	2158156	10
2206741	1111275	10
2206824	2206741	10
2206862	2206553	10
2206862	2206640	10
2206862	2206690	10
2206898	2206862	10
2206932	2206741	10
2207003	3147568	10
2207003	2158365	10
2207003	81894	10
2207003	2206768	10
2207030	2206862	10
2207030	2206898	10
2207030	2206932	10
2207085	2206451	10
2207128	2206532	10
2207128	2206640	10
2207241	2207003	10
2207241	2207106	10
2207280	2206532	10
2207280	2206610	10
2207280	2206690	10
2207371	2206768	10
2207371	2207030	10
2207415	2110673	10
2207415	1111275	10
2207415	2206334	10
2207415	2206532	10
2207415	2207205	10
1066956	1067708	10
2207452	2206813	10
2207452	2207295	10
2207871	2206932	10
2207920	2207003	10
2207942	2207128	10
2207980	2207415	10
2208222	2206610	10
2208222	2207415	10
2208239	2206610	10
2208239	2206640	10
2208239	2207415	10
2208580	2206532	10
2208580	2207205	10
2208580	2207871	10
2208614	2206451	10
2208614	2208580	10
3257212	1237702	10
3257212	3255745	10
2208709	2798973	10
2208709	2157910	10
2208709	1111275	10
2208742	2207871	10
2208862	2206813	10
2208862	2208614	10
2208889	2207205	10
2208912	2207740	10
2208924	2207452	10
2208935	2206220	10
2208935	2207280	10
2208935	2207415	10
2208935	2208580	10
2208935	2208709	10
2209058	2208709	10
2209344	2209183	10
3258450	3255914	10
3258636	3256299	10
2210107	2209925	10
3258689	3255745	10
3258689	3258450	10
3258689	3258636	10
3259883	3255914	10
3259883	3256299	10
3259883	3257212	10
3259883	3258689	10
3261119	2157797	10
3261119	3261100	10
2213776	2213733	10
2213925	3221327	10
2213925	2213733	10
2214045	2213776	10
2214099	2213807	10
2214123	2157797	10
2214123	94083	10
2214123	2213733	10
2214123	2213807	10
2215026	2215025	10
2215603	14734	10
2215603	14820	10
2215603	2120002	10
2215603	2158365	10
2215603	3218361	10
2215603	3221475	10
2215603	2206741	10
2215603	2213925	10
2215854	2215591	10
2215982	2215591	10
2216068	2215854	10
2216084	2215461	10
2216084	2215850	10
2216092	2214123	10
2216092	2215360	10
2216106	2215854	10
2216106	2215982	10
2216129	2216092	10
2216129	2216106	10
2216159	14820	10
2216159	2157797	10
